Legislator	Contribution	Influence
Rep, Bachus,  Spencer	17500.0	0.93
Rep, Cotton,  Tom	40200.0	3.93
Rep, Fincher,  Stephen Lee	43500.0	2.45
Rep, Garrett,  Scott	35000.0	2.76
Rep, Hultgren,  Randy	70000.0	6.53
Rep, Hurt,  Robert	39500.0	3.59
Rep, Mulvaney,  Mick	33500.0	3.67
Rep, Pittenger,  Robert	20000.0	0.0
Rep, Ross,  Dennis A.	42500.0	5.11
Rep, Rothfus,  Keith J.	37500.0	1.48
Rep, Stivers,  Steve	52000.0	5.48
Rep, Wagner,  Ann	15000.0	2.3
Rep, Westmoreland,  Lynn A.	22000.0	1.41
